index,word
1,戊
2,丑
3,办
4,北
5,敝
6,弊
7,憋
8,秉
9,岔
10,成
11,承
12,乘
13,仇
14,出
15,绌
16,船
17,垂
18,匆
19,丹
20,岛
21,登
22,断
23,队
24,发
25,仿
26,戈
27,功
28,乖
29,怪
30,贯
31,掼
32,惯
33,轨
34,函
35,黑
36,花
37,挥
38,辉
39,浑
40,圾
41,鸡
42,岌
43,汲
44,即
45,脊
46,谏
47,斤
48,近
49,惊
50,巨
51,拒
52,匡
53,葵
54,理
55,历
56,厉
57,隶
58,辽
59,岭
60,龙
61,笼
62,拢
63,垄
64,鹿
65,卵
66,轮
67,率
68,迈
69,母
70,那
71,能
72,鸟
73,妞
74,鸥
75,皮
76,匹
77,撇
78,泼
79,岂
80,切
81,情
82,却
83,扔
84,软
85,闪
86,失
87,矢
88,爽
89,水
90,思
91,搜
92,嗖
93,廷
94,瓦
95,丸
96,为
97,务
98,芯
99,秀
100,旭
101,压
102,延
103,炎
104,夜
105,医
106,仪
107,义
108,印
109,幽
110,萸
111,岳
112,孕
113,再
114,灶
115,忠
116,重
117,舟
118,拙
119,字
120,坐
