userid,wordid,rating
82,82,1
82,42,1
82,204,1
82,79,1
82,38,1
82,134,1
82,66,1
82,21,1
82,177,1
82,141,1
82,58,1
82,39,1
82,98,1
82,99,1
82,102,1
229,21,0
229,37,0
229,40,0
229,99,0
229,44,1
229,135,1
229,161,0
229,42,0
229,204,1
229,101,0
229,102,1
229,21,1
229,28,1
229,37,0
229,40,0
229,99,0
229,44,1
229,135,1
229,161,0
229,42,0
229,204,0
229,101,0
229,102,1
229,161,0
229,42,0
229,101,0
229,40,0
229,37,1
229,161,1
229,99,0
229,42,0
229,101,0
229,40,0
229,37,1
229,161,1
229,99,0
229,42,1
229,101,0
229,40,0
229,37,1
229,142,1
229,78,1
229,97,1
229,99,0
229,32,0
229,119,0
229,119,1
229,101,0
229,99,0
229,101,0
229,99,1
229,101,0
229,69,1
229,111,0
229,194,1
229,101,0
229,88,1
229,130,1
229,207,1
229,93,1
229,1,1
229,101,0
229,131,0
229,145,1
229,182,0
229,33,1
229,163,0
229,101,0
229,146,0
229,155,0
229,164,0
229,183,0
229,131,1
229,145,1
229,182,1
229,33,0
229,163,0
229,101,0
229,146,0
229,155,0
229,164,1
229,183,1
229,155,1
229,101,0
229,101,0
229,85,1
229,195,0
229,101,0
229,95,0
229,85,1
229,195,0
229,101,0
229,10,0
229,101,1
229,95,1
229,195,0
229,54,1
229,198,1
229,170,0
229,6,0
229,195,1
229,7,0
229,121,0
229,190,1
229,59,0
229,170,1
229,6,0
229,195,1
229,7,0
229,121,0
229,190,0
229,190,1
229,59,0
229,170,1
229,6,1
229,195,1
229,7,0
229,121,0
229,190,1
229,59,0
229,7,0
229,59,0
229,121,0
229,176,0
229,53,0
229,73,1
229,59,0
229,123,1
229,7,0
229,181,1
229,121,1
229,53,0
229,7,0
229,59,0
229,53,0
229,7,1
229,59,0
229,53,0
229,59,0
229,53,0
229,59,0
229,59,0
229,53,1
229,59,0
229,117,1
229,59,1
229,112,0
229,22,0
229,139,0
229,117,1
229,59,0
229,112,0
229,22,0
229,139,0
229,117,0
229,59,0
229,112,0
229,22,0
229,139,0
229,117,0
229,59,1
229,112,0
229,22,0
333,21,1
333,28,1
333,161,1
333,40,0
333,40,1
333,204,0
333,204,1
333,135,1
333,102,1
333,37,1
333,101,1
333,99,1
333,44,1
333,42,1
135,21,0
135,21,1
135,44,1
135,40,0
135,40,1
135,101,0
135,101,1
135,204,0
135,101,1
135,204,0
135,102,0
135,102,0
135,37,1
135,42,1
135,99,1
135,135,0
135,135,0
135,161,1
135,135,0
